Price,Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared
12200.0,2016,Toyota,Tacoma,21798.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
4900.0,2016,Kia,Sorento,23871.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
2600.0,2016,Mazda,3,23814.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
6600.0,2018,Kia,Sportage,19374.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
5900.0,2016,Mercedes-Benz,CLA 250,24152.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
4300.0,2018,Kia,Optima,199347.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
4300.0,2018,Kia,Optima,19364.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
3200.0,2016,Kia,Optima,23198.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
4600.0,2017,Honda,Civic,19964.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
9500.0,2019,Infiniti,QX50,18624.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
9800.0,2020,Infiniti,QX50,17358.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
9200.0,2019,Infiniti,QX55,17593.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
9300.0,2019,Infiniti,QX50,17628.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
7200.0,2017,Infiniti,QX50,21832.0, Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
